Waktu,Ulasan,Pengguna,jtmC98,T79_5U,HcSdrS src (6),HcSdrS src (7),HcSdrS src (8)
"2024-01-09 17:41 | Variasi: Hijau Armi dop,M (57-58)","Pesanan sudah sampai sesuai dengan yang dipesan, recommended seller",ikhfanr,,,,,
"2024-01-08 09:04 | Variasi: Ice blue,M (57-58)","Barang telah sampai sesuai dengan waktu yang telah ditentukan sebelumnya.,kemasan aman sehingga barang sampai dengan aman.,kualitas bagus sesuai dengan harga.,sudah dipakai.,lain waktu pesan kembali",gussetya77,,,,,
"2024-01-30 19:20 | Variasi: Merah ferari,XL (61-62)",Pokoke kerennnnn...,dinisukarsih,,,,,
"2024-08-12 13:09 | Variasi: Hijau Armi dop,L (59-60)",Sesuai 👍,jericoyp,,,,,
"2024-05-26 18:51 | Variasi: Abu abu kilap,XL (61-62)","Sudah diterima dengan baik dan aman sesuai pesanan bhnya pun lumayan tebel dip pokoknya 
Thanks seller amanah",,,,,,
"2025-03-01 13:47 | Variasi: Hitam kilap,L (59-60)",Bagus helm nya ringan di kepala sesuai pesanan,ravaravi897,,,,,
"2025-03-26 21:07 | Variasi: Hitam dop,M (57-58)","Barang telah sampai dengan aman dan sesuai ekspektasi, paking rapi dilapisi bubble wrap yg tebel jadi sangat aman, penjual fast respon dan pengiriman cepat sampai nya... terimakasih",,,,,,
"2023-12-02 13:49 | Variasi: Merah maron,L (59-60)",,rhabilfangidae817,,,,,
"2024-08-09 13:13 | Variasi: Merah maron,L (59-60)","Alhamdulillah paket tiba dengan selamat, 
Helemnya sesuai deskripsi.
Bagus suami saya suka 🥰
Pokoknya mantep deh 👌",,,,,,
"2023-10-31 12:54 | Variasi: Abu abu kilap,M (57-58)","sesuai harga yaa kawan 90rb mau yg ori mana mungkin ,ini kw tapi bagus loh yaa",,,,,,
"2023-03-31 16:53 | Variasi: Hitam dop,M (57-58)",Rekomendasi deh ditoko ini,adhee6969,,,,,
"2025-04-08 12:08 | Variasi: Abu abu dop,XL (61-62)","Salah satu rekomendasi untuk berkendara sehari hari.
Desain yang keren dan kekinian menambah rasa percaya diri saat memakainya.. meski terkesan sangat ringan, namun masih bisa digunakan untuk berbagai keamanan aktifitas dalam berkendara.

Terimakasih buat seller yang amanah.",anwar.ma,,,,,
"2024-06-05 08:32 | Variasi: Helmbogowarnarandom,XL (61-62)",Worth it setara harga lah..🥰,michelleshantamorris,,,,,
"2023-01-10 15:11 | Variasi: Putih,M (57-58)","Makasih seller barangnya sudah sampai dengan baik. Semoga awet dan berfungsi dengan baik. 
INK nya tempelan.  Hehehe",melkison,,,,,
"2024-08-20 22:12 | Variasi: Biru tua dop,L (59-60)","Warna helm dop, bagus semoga awet helmnya. Pengemasan aman cepat pake dus rapih. Pengiriman lumayan cepat. Semoga selalu amanah.",,,,,,
"2024-05-06 20:23 | Variasi: Pink magenta,M (57-58)",,afdillahcaniago,,,,,
"2025-01-28 06:55 | Variasi: Hitam kilap,XL (61-62)",Barang bagus sesuai dengan harga sangat cocok untuk keseharian,,,,,,
"2025-01-19 18:05 | Variasi: Pink magenta,XL (61-62)","Cantik siih cuma aku ny baru sadaar kalo warna ny tu gk sama karna emang di situ tertulis pink magenta dipiran ku pink yg sesuai gambar🫣🫣.... all semua ny bagus... ad patah dikit tp gk ganggu jd ok² aj
+ ad double kaca jd kereeeen bgt makasih y",,,,,,
"2024-09-12 08:01 | Variasi: Biru tua,XL (61-62)",Makasih byk y sesuai dengan keinginan kita puas belanja online di situs ini sesuai dengan keinginan kita,ty9jlj6pnb,,,,,
"2023-01-27 19:01 | Variasi: Merah maron,M (57-58)","Mantappppp....tidak kecewa,mau pesan LG ....",yulianimarta,,,,,
"2025-01-01 13:18 | Variasi: Hitam dop,XL (61-62)",,adipatimorloronk038,,,,,
"2025-04-08 17:04 | Variasi: Putih,L (59-60)",,achmadharis453,,,,,
"2025-06-18 18:22 | Variasi: Merah ferari,M (57-58)",mantap,yayuastuti954,,,,,
"2023-03-25 15:33 | Variasi: Maron dop,M (57-58)",Sesuai dengan harga....,boeday76,,,,,
"2023-12-05 11:10 | Variasi: Pink magenta,M (57-58)",,raselawati407,,,,,
"2025-05-04 15:36 | Variasi: Biru tua dop,M (57-58)",,munajiaji768,,,,,
"2023-03-11 08:31 | Variasi: Abu abu kilap,XL (61-62)",Helem ya sangat bagus .model keren .kaca dobel.warna cocok sesuai .terimakasih banyak .moga laris,kristinamonica161,,,,,
"2023-04-16 13:04 | Variasi: Merah maron,XL (61-62)",,arohman425,,,,,
"2025-05-05 17:13 | Variasi: Abu abu kilap,M (57-58)",Mantap gan brg y sesuai dgn harga y,6mc834ff0q,,,,,
"2024-07-08 08:54 | Variasi: Abu abu kilap,L (59-60)",Lumayan okelah utk harga segitu. Kalau dilihat aja mirip ori nya. Cuman kalau dipake baru kerasa bedanya.,rfitriani.rf,,,,,
"2023-10-01 15:30 | Variasi: Abu abu dop,XL (61-62)","Pengiriman cepat, pas dikepala. Murah tapi tidak murahan. Semoga awet...",ardiaguspurnawan,,,,,
"2023-04-29 08:31 | Variasi: Hitam dop,XL (61-62)","Pengiriman cepat, harga murah, tampilan terlihat seperti asli, admin responsif",rio.naldi_10,,,,,
"2024-05-18 17:24 | Variasi: Hitam dop,XL (61-62)",Tertarik karena perlu helm dan yang di tawarka harga cukup murah...,,,,,,
"2023-09-18 10:45 | Variasi: Hitam dop,M (57-58)",Makasih brg sdh sampai ...merk hanya tempelan stiker ink sesuai dgn harganya walaupun  KW 7,nawathariq09,,,,,
"2022-12-18 10:47 | Variasi: Maron dop,XL (61-62)",Barang suda saya terima dgan baik .pengiriman cepat barang bagus saya suka barang ini .terima kasih ..,amor707,,,,,
"2022-12-29 23:47 | Variasi: Merah maron,L (59-60)","Helm nya bagus dan sesuai pict, muat untuk kepala dewasa, packing nya bisa lebih bagus lagi",cantika200503,,,,,
"2023-03-12 10:21 | Variasi: Hijau Armi dop,XL (61-62)",Barang sesuai dengan harga sayang packingan kurang aman tolong di perbaiki lagi masalah barang ga ngecewakan puasss,,,,,,
"2025-05-05 15:41 | Variasi: Putih,M (57-58)","Alhmdulillah helm nya sdh dtang ... Ada yg pecah bagian atas, mungkin krna benturan dg paket yg lain , tpi gk ppa sudah di kasih solasi.
Ukuran pas sesuai pesanan. 
Kualitas sesuai harga ya ,
Keren tampilan nya.Mudah²an awet
Trimkasih semuanya",asepbadrus94,,,,,
"2024-04-24 07:40 | Variasi: Abu abu dop,XL (61-62)","Mantullll...... Sesuai harga lah.. 
Packing mantappp, tidak ada yg pecah.. Mo order lagi kayanya.",alena.kanaya,,,,,
"2024-10-12 17:01 | Variasi: Hitam kilap,XL (61-62), Putih,XL (61-62)",Produk sesuai deskripsi. Pengiriman cepat. Recommended selle. Terima kasih shoppee & sellernya.,,,,,,
"2023-12-30 10:00 | Variasi: Hitam dop,M (57-58)","Apapun motornya yg penting helm yg punya topi, biar g ngebut ngebutan. Wkkk",uthodjalie,,,,,
"2022-03-12 19:45 | Variasi: Merah maron,M (57-58)",mantap barang sampai dengan selamat dan aman tidak ada kendala apapun pokok nya mantap,akashaakane12,,,,,
"2025-04-28 11:10 | Variasi: Merah ferari,XL (61-62)",,devihermansyah222,,,,,
"2025-05-03 00:58 | Variasi: Pink magenta,L (59-60)",,frithachristyanugrahni,,,,,
"2024-11-02 22:13 | Variasi: Hitam dop,L (59-60)",Untuk harga Helmet 100ribuan ini sudah sangat bagus dan lumayan nyaman digunakan berkendara.,,,,,,
"2022-02-02 20:52 | Variasi: Biru tua,L (59-60)",Bagus bgt helmnya meski agak lama datangnya tp gak kecewa kalau helmnya sebagus dan semudah ini...,mega2kalea,,,,,
"2023-04-29 16:57 | Variasi: Kuning stabilo,L (59-60)",,junismanhadesnpacy,,,,,
"2025-03-14 09:46 | Variasi: Hitam dop,L (59-60)",Sesuai terima kasih AMANAH,fiabvp4ysg,,,,,
"2023-04-28 17:02 | Variasi: Kuning stabilo,L (59-60)","Barang sudah sampai dengan selamat kualiatas lumayan sesuai harga, terimakasih semoga awaet...",,,,,,
"2025-04-17 20:24 | Variasi: Hitam dop,L (59-60)","Alhamdulillah paketnya udah nyampe, suamiku suka banget sama helmnya dipakenya jg nyaman, keren lagi 
Makasih shopee makasih seller 🙏🏻🙏🏻👍👍",lilistutiana,,,,,
"2021-07-02 20:27 | Variasi: Merah maron,XL (61-62)","Produk realpict, cuman sayang ada yg g pas samping'y, respon baik, pengiriman cepat",,|,Langganan,,,
"2025-06-05 10:12 | Variasi: Pink magenta,XL (61-62)","Helmnya bagus sih warnanya menarik, tapi apa di doubel visionnya kacanya begitu kah?? 
Untuk harga segitu dapet helm sebagus itu si wort it dah.. 
Pengiriman juga cepet bgd..",knhpsri,,,,,
"2022-12-15 17:15 | Variasi: Merah maron,L (59-60)",untuk harga segitu ok lah,yantoo0o78,,,,,
"2025-01-17 14:48 | Variasi: Ice blue,XL (61-62), Biru tua,L (59-60)","Lumayan ok anak suka cuman...
Dikit kecewa karena ada bagian helm yang pecah dikit dan disolasi untungnya di bagian dalam...dan untuk visornya gak berfungsi satunya.....",bunda_munawaroh,,,,,
"2023-04-03 12:24 | Variasi: Merah ferari,L (59-60)",Bagus tp modelnya emnk besar pdhl ini uk L tp gpp lh murah soalnya 😂,ichakurniya11,,,,,
"2024-12-05 15:31 | Variasi: Hitam kilap,XL (61-62)","Sesuai pesanan
Pengiriman cepat
Ukuran XL pas
Next order lagi
Trima kasih",gendonsarma,,,,,
"2024-01-08 06:34 | Variasi: Biru tua dop,M (57-58)","Barang mendarat dgn aman .baik 
Sesuai pesanan .pas dan nyaman dipakai",dw1h4ry4d1,,,,,
"2024-07-16 10:36 | Variasi: Biru tua dop,M (57-58)",,9xtnc5uep2,,,,,
"2026-01-15 13:43 | Variasi: Ice blue,XL (61-62)",Helmnya sudah sampai dengan selamat packing aman dapat dua kaca desain modis warnanya Saya suka Saya suka Mantap dah,carasehat,,,,,
"2025-06-06 20:31 | Variasi: Hitam dop,XL (61-62), Hitam kilap,XL (61-62)","Alhamdulillah helmnya sudah sampai. Bagus dan pas sekali! Tokonya amanah, gak nyesel beli di sini. Semoga helmnya awet. 
Terima kasih seller, pak kurir, dan shopee! 👍",,,,,,
"2023-04-14 20:08 | Variasi: Kuning stabilo,L (59-60)","Barang sudah sampe dengan selamat...
Lumayan lah dgn harg sgitu mah.",,,,,,
"2022-02-27 17:20 | Variasi: Abu abu kilap,XL (61-62)","Barang sudah sampai,,no lecet,barang sesuai dgn harga.. terima kasih ,🙏",piterbantong,,,,,
"2023-04-29 17:11 | Variasi: Hitam kilap,L (59-60)","Baru pertama kali beli di toko ini.
Tp mengecewakan.
Helmnya sihh bagus.
Tp sayangnya pecah.
Next time pakaging nya tlng di perhatikan LG.
Agar Tdk mengecewakan customer.
Maaf saya ksh bintang 1.",anick_imuets,,,,,
"2024-08-20 19:48 | Variasi: Putih,XL (61-62)","Keren dan tidak lecet sama sekali saat jaut, bahkan di kepala juga sangat empuh dan nyaman saat di pakai bepergian jauh.",ahmadmushlihin,,,,,
"2023-08-03 09:52 | Variasi: Biru tua,XL (61-62)","Helm nya dipesan warna biru tua, yang datang malah biru muda🙄 tapi nggak papa sihh yang penting warna biru muda nya baik",noramalia551,,,,,
"2024-04-25 13:41 | Variasi: Hitam dop,XL (61-62)","Barang baik sesuai pesanan, semoga awet,, dan penjualan yang lancar",haizunniam777,,,,,
"2024-06-03 17:48 | Variasi: Hitam dop,XL (61-62)",Barang sdh diterima dan sesuai pesanan,pamp472,,,,,
"2023-03-24 21:03 | Variasi: Merah maron,XL (61-62)",Paket ny udh smpai...dgn cepat. Bagus n sesuai dgn orderan..smga laris manis,dhiradinar,,,,,
"2025-05-16 19:21 | Variasi: Hijau Armi dop,XL (61-62)","Helm diterima dengan baik utuh respon cepat
Dengan tampilan yang menawan bahan tebal dan dalaman empuk dengan double visor semakin ciamik helmnya",amangwibowo,,,,,
"2024-04-25 08:53 | Variasi: Hitam kilap,XL (61-62)",Cocok untuk harian,bhayu_maharr,,,,,
"2023-11-30 18:29 | Variasi: Merah maron,XL (61-62)","Barang sudah di terima dengan kondisi aman, kualitas sesuai harga,semoga awet dan bermanfaat",moeslim76,,,,,
"2024-10-18 10:27 | Variasi: Merah ferari,XL (61-62)","Ternyata Ink tempelan, sesuai harga lah, tapi tetap bisa dipakai, walau udah ada yg letek dikit, bisa di lem sendiri....thanks seller",,,,,,
"2025-06-10 12:40 | Variasi: Merah ferari,L (59-60)",Alhamdulillah paketnya sudah mendarat dengan mulus,orinhunoke90,,,,,
"2025-05-23 13:51 | Variasi: Hijau Armi dop,M (57-58)",bagus dan pas,bqjzj3sjro,,,,,
"2023-05-12 06:48 | Variasi: Maron dop,L (59-60)",Kualitas sesuai dengan harga,onielassesoriess05,,,,,
"2023-04-30 10:46 | Variasi: Hijau Armi dop,L (59-60)","Kualitas produk Sesuai harga,  pengiriman cepat, orderan sesuai, packingan aman alhamdulillah tidak ada yang pecah. terima kasih seller",rhyaaras,,,,,
"2023-04-19 17:45 | Variasi: Abu abu kilap,L (59-60)",Rekomendasi buat teman2 yang mau helm murah tapi kualitas oke...,4c0y123,,,,,
"2023-01-06 15:12 | Variasi: Hijau Armi dop,L (59-60)",Penampilan ok...,ddy81,,,,,
"2024-07-26 13:17 | Variasi: Ice blue,L (59-60)","Melebihi ekspektasi produkx sangat bagus, warnanya sesuai pesanan dan bagus, terima kasih seller dan kurir",d1na_marlia.,,,,,
"2023-02-02 14:37 | Variasi: Hitam kilap,L (59-60)",,,,,,,
"2023-04-06 17:34 | Variasi: Maron dop,M (57-58)",,dorkasheny,,,,,
"2024-01-09 11:11 | Variasi: Hitam dop,L (59-60)",Tokonya amanah..barangnya sesuai gambar..sudah dipasang dengan rapi..langsung pakai..terimakasih ya..lain kali mau pesan lagi..,remaholill,,,,,
"2023-09-08 00:34 | Variasi: Putih,L (59-60)",,ilham_sabian,,,,,
"2025-06-08 08:58 | Variasi: Hijau Armi dop,L (59-60)","Pengiriman nya cepat ke makassar harga murah tapi desain nya bagus warna army hijau TNI ,mantap BRAVO",mama.ibnu1,,,https://down-id.img.susercontent.com/file/id-11134103-7rbk4-maqdpsgqr9jy0a,https://down-id.img.susercontent.com/file/id-11134103-7rbkc-maqdpsgqso4e92,https://down-id.img.susercontent.com/file/id-11134103-7rbka-maqdpsgqogf2a8
"2023-04-06 13:02 | Variasi: Hijau Armi dop,XL (61-62)","Terimakasih kepada semua kakak kakak juragan
Sukses selalu buat kalian semua 🙏🙏🙏",maming_awara,,,,,
"2023-08-11 16:30 | Variasi: Hitam kilap,M (57-58)",Helm nya bagus sesuai harga terimakasih,,,,,,
"2024-08-13 11:08 | Variasi: Hitam kilap,L (59-60)","Barang sudah sampai dengan baik. Kardus nya penyok & rusak, tapi barang masih aman, ada lecet kyk tergores dikit tpi gpp. Ukuran L pas di kepala saya. Thankyou",richo.10,,,,,
"2023-07-10 14:46 | Variasi: Hitam dop,L (59-60)","Bagus harga sesuai dengan barangnya, hampir mirip dengan aslinya, bahan lumayan kuat",aswinr78,,,,,
"2026-02-27 11:03 | Variasi: Merah ferari,L (59-60)",,,,,,,
"2024-02-29 20:39 | Variasi: Abu abu dop,L (59-60)",,yudifiandra860,,,,,
"2024-08-17 02:51 | Variasi: Hitam dop,XL (61-62)","Pesanan sudah datang walaupun dosnya penyok tapi helmnya masih aman krn ada buble wrap nya, top untuk tokonya amanah...",syamsiari953,,,,,
"2024-12-27 21:07 | Variasi: Abu abu kilap,M (57-58), Hitam kilap,M (57-58)","Trims ya,pesenan sudah datang dengan selamat",ajawtoyan,,,,,
"2025-05-28 09:10 | Variasi: Hitam dop,L (59-60)","Helm nya lumayan,sesuai harga,nyaman di pakai,meskipun kw tp bagus ,thanks seler",winda.deri,,,,,
"2024-01-04 10:48 | Variasi: Abu abu dop,M (57-58)",Alhamdulillah pesanan saya sudah di terimakasih...produk sangat baik...Terimakasih..,antoherlianto,,,,,
"2024-12-07 15:15 | Variasi: Biru tua dop,XL (61-62)",Bagus pokonya,mike_84.,,,,,
"2024-08-02 20:47 | Variasi: Hitam kilap,L (59-60)","Pengirimannya cepat, sellernya fast respon dan cepat kerjakan orderan, helmnya bagus dengan harga yg terjangkau, packing rapi & aman. Recommended seller 👍",,,,,,
"2025-04-12 16:56 | Variasi: Abu abu dop,XL (61-62), Hitam kilap,XL (61-62)","Alhamdu lillaah, produk sampai, produk sangat bagus, penjual amanah & baik hati.
Terima kasih banyak pada Shopee, NizamHelmetGresik, dan Anteraja🙏🏻🙏🏻

Semoga Alloh mudahkan kita makin sukses, aamiin",sahudisenganten,,,,,
"2023-10-15 11:56 | Variasi: Hitam kilap,XL (61-62)",Helm na bagus sesuai pesanan..oke,ketut_sudirka,,,,,
"2022-01-05 16:49 | Variasi: Putih,M (57-58)",Ya lumayan lah... Barang sesuai pengiriman aman. Pas juga.,haramainy913,,,,,
"2021-10-13 13:52 | Variasi: Hitam kilap,L (59-60)","Pengemasannya cepat, pengemasan helmnya juga dikirim dengan aman dan baik. Terima kasih...",tinanuranisa31,,,,,
"2022-12-26 19:44 | Variasi: Hitam kilap,M (57-58), Merah maron,M (57-58)","Barang bagus cuman ada sedikit yg rusak d belakang helm yg warna merah.
Tpi tidak mengecewakan karna kualitas bagus. 
Sesuai dengan harga",alvin_audio_02,,,,,
"2023-09-24 13:43 | Variasi: Abu abu dop,M (57-58)","Pengemasan sangat baik, sesuai deskripsi. Semoga langgana terus",qc_iu08gst,,,,,
"2024-09-09 19:32 | Variasi: Hitam dop,L (59-60)",,satriofajar1989,,,,,
"2025-07-30 18:33 | Variasi: Hitam kilap,M (57-58)",Lumayan bagus dengan harga segitu murah 95rb sdh dengan ongkirnya dari jawa k kalimantan lg....,h.jumberi,,,,,
"2025-05-17 11:43 | Variasi: Merah maron,XL (61-62)","Terima kasih seller helm nya udh smpe, bagus, cuma body nya agak lentur",dhyl17,,,,,
"2025-01-18 16:57 | Variasi: Hitam kilap,M (57-58)","Cepat sampai
Semoga awet
Terima kasih",,,,,,
"2023-04-05 21:00 | Variasi: Hitam kilap,L (59-60)",,taevoffvlt,,,,,
"2024-10-15 14:01 | Variasi: Putih,L (59-60)","Alhamdulillah barang sdh sampe dengan selamat, tidak ada kerusakan atau kekurangan sama sekali terimakasih, semoga sukses terus untuk usaha nya, amin",maulanaihsan515,,,,,
"2023-01-16 17:31 | Variasi: Biru tua,L (59-60)","Bagus, kardusnya penyok, untung helm aman,. Pengiriman standar,, ok",fitriyinita,,,,,
"2023-02-26 13:18 | Variasi: Ice blue,L (59-60)",,hendrik_nirwana87,,,,,
"2025-05-25 16:14 | Variasi: Biru tua,XL (61-62)",Pesanan udh sampai. Waktu pemesanan normal. Qualitas sedang sesuai dengan harga. Desainnya bagus. Packing rapi.,husaini210457,,,,,
"2023-02-06 22:37 | Variasi: Hitam dop,L (59-60)",Untuk harga segitu lumayan ok,suryaanwar123,,,,,
"2025-02-04 13:29 | Variasi: Hitam kilap,L (59-60)",👍👍👍,elisarisma123,,,,,
"2024-09-22 19:28 | Variasi: Hitam dop,L (59-60)","Helm ink dengan double kaca sangat keren untuk berkendara, desain bagus👍",madesukadayasa,,,,,
"2024-09-12 12:19 | Variasi: Abu abu dop,L (59-60)","Mantapp, sesuai dengan kepala, dan bungkus burble warp sangat tebal terimakasih 👍🤝..",,,,,,
"2023-12-28 14:53 | Variasi: Hitam dop,M (57-58)","Pesanan sudah sampai dengan selamat, packingnya ditambah Bubble wrap sehingga barang aman. Respon cepat recommended pokoknya. Tampilan  barang oke, harga hemat di kantong.",erry2078,,,,,
"2024-11-12 20:50 | Variasi: Ice blue,L (59-60)","Pas dipakai untuk saya bekerja, warnanya cerah sesuai deskripsi sangat suka semoga awet dan makasih buat tokonya, sukses selalu 👍👍👍",,,,,,
"2023-11-30 15:59 | Variasi: Merah ferari,L (59-60)",,nurwahid_01,,,,,
"2024-03-23 18:46 | Variasi: Merah ferari,M (57-58)",Toko amanah paking nya juga sangat aman dan mantap,ian777222,,,,,
"2025-06-11 14:27 | Variasi: Hitam kilap,XL (61-62)",Bagus banget sesuai pesanan🤩🥰 terimakasih seller🫶🏻,ningrumm01,,,,,
"2024-05-18 20:01 | Variasi: Hitam dop,XL (61-62)",Datang dengan aman dan cepat keren bgt helem nya,hanifahanwar1,,,,,
"2024-06-24 15:42 | Variasi: Abu abu dop,L (59-60)",Baik di gunakan saat pergi jauhn dan dekat juga sangat nyaman,munawarkholilpurba,,,,,
"2023-10-17 08:06 | Variasi: Maron dop,M (57-58)","Sesuai pesanan, warna maron nya bagus. Semua berfungsi dgn baik. Packing rapi, jd barang sampai dgn selamat.",nroseilla,,,,,
"2025-06-11 18:37 | Variasi: Putih,L (59-60)",Barang sudah diterima. Walaupun agak terlambat nyampenya. Packingan aman kwalitas barang ok lbanget dgn harga segitu. Kurir ok sudah langganan jga,yunifarsat568,,,,,
"2024-10-04 17:13 | Variasi: Hijau Armi dop,XL (61-62)",Perfect,lindu1911,,,,,
"2024-12-13 21:46 | Variasi: Abu abu dop,L (59-60)","Secara keseluruhan oke, sayangnya ada cipratan cat hitam di bagian kanan",fazafailasufi,,,,,
"2023-08-29 12:42 | Variasi: Putih,L (59-60)",Cuman kaca matanya kurang kebawah klo di pencet,serliferiana,,,,,
"2023-12-22 14:28 | Variasi: Abu abu dop,L (59-60)","Sangat puas, tidak ada yg Cacat👍",fitrypee,,,,,
"2024-08-27 00:37 | Variasi: Pink stabilo,M (57-58)","Barang bagus,ukuran pas,Manaf terimakasih reseller dah amanah",azzamputra531,,,,,
"2025-05-04 07:51 | Variasi: Abu abu kilap,XL (61-62)",Bagus bnget sih keren suka bnget sama helm nyaa,intanaguspratiwi_tap,,,,,
"2025-02-05 11:33 | Variasi: Hitam dop,L (59-60)","Alhamdulillah... Pesanan dah sampai, pengemasan yg baik, mantap pokok e, sesuai dgn pesanan, maturnuwun",fd_ehnm2c8,,,,,
"2025-02-02 10:29 | Variasi: Hitam kilap,L (59-60)","Saya gak nuntut lebih, dengan harga 100rb ,kamu bisa dapet helm yang nyaman lahh buat hari2.",haifanisetiabudi,,,,,
"2023-10-19 12:24 | Variasi: Abu abu dop,XL (61-62)",Rapi alus cakep tapi untuk ukuran XL agak kecil,raditha29,,,,,
"2025-01-18 14:46 | Variasi: Abu abu dop,M (57-58)",Sesuai pesanan pokoknya Mksi seller dan shoppe,sarmidi121,,,,,
"2023-04-09 14:58 | Variasi: Hitam kilap,XL (61-62)","Helmnya sudah diterima dengan baik, kardus penyok tp helmnya aman, realpict",,,,,,
"2023-10-14 19:15 | Variasi: Abu abu kilap,L (59-60)","Barang sudah sampai,, kwalitas barang sesuai harga. Warna n ukuran sesuai.",kariyanto15,,,,,
"2024-08-09 12:30 | Variasi: Merah ferari,L (59-60)","Alhamdulillah paket barangnya SDH sampai dterima dlm keadaan baik tanpa lecet.
Terimakasih seller & shopee👍🙏",sunarto510,,,,,
"2026-01-10 08:52 | Variasi: Merah ferari,L (59-60)","Pengiriman sgt cpt.psn hari ini,bsknya smpe.pengiriman gresik bjonegoro1 hari dtg.alhmdlh mndarat dg selamat,bgus bgt.g rugi beli disini,awalnya ragu tkut eh trxta smpe wow.g nyangka hrg dbwh 100 dpt helm sebagus ini.👍",reynataaa_,,,,,
"2024-01-16 19:29 | Variasi: Hitam kilap,M (57-58)",,,,,,,
"2023-12-19 07:58 | Variasi: Hitam kilap,M (57-58)",Packing rapih dan aman. Pengiriman tepat waktu.,indraenter,,,,,
"2025-07-28 21:27 | Variasi: Abu abu kilap,XL (61-62)","Respon penjual cepat bangget, cuma 2 hari barang sdh dtng, helam pas  di pakai  enak nyaman  ,  gak rugi lah  belanja di sini penjual nya amanah  , tetimsh kasih ya kak",asyifanaila81,,,,,
"2023-04-19 15:47 | Variasi: Hitam dop,M (57-58)",Sudah diterima ngak ada yg cacat mantap ada kacamata didalam nya trimakasih,,,,,,
"2023-10-27 15:31 | Variasi: Abu abu kilap,XL (61-62)",Muantappp helm nya pk BOSSS..,bungarolino,,,,,
"2024-06-28 10:33 | Variasi: Abu abu kilap,L (59-60)",,mahmudisip,,,,,
"2025-02-10 07:29 | Variasi: Abu abu dop,XL (61-62)",Hanya terdapat sedikit tumbul bagian atas kaca mata helm.,,,,,,
"2024-08-21 18:53 | Variasi: Merah ferari,L (59-60)",Bagus bngt helm nya GX nyesel pokok nya blnja di toko ini,,,,,,
"2025-04-29 14:16 | Variasi: Hitam kilap,XL (61-62)",,dadanhendriyana17,,,,,
"2025-06-09 10:24 | Variasi: Hitam kilap,M (57-58)","Helmnya bagus. Real pict. Harga terjangkau. Packing rapi & aman, pakai plastik, bubble wrap & kardus. Respon ramah.",silvidn05,,,,,
"2024-09-08 18:16 | Variasi: Hitam dop,XL (61-62)","Pesanan sudah mendarat dengan selamat, maaf untuk fotonya tidak bisa terlalu detail karna langsung dimainin sama bocil 😅

Tapi cukup puas dengan paketnya yang sesuai pic",andrewildany16051989,,,,,
"2023-12-26 18:22 | Variasi: Merah ferari,M (57-58)",Mksh smoga awet n bsok2 tak order lgi bwt anak q,ratna.yuliyanti34,,,,,
"2023-12-12 18:05 | Variasi: Abu abu dop,L (59-60)",Rekomended lah buat yg punya budget minim,mnabilyusuf17,,,,,
"2024-12-14 11:57 | Variasi: Maron dop,M (57-58)",Alhmdulilah paket sudah tiba tidak ada yg cacat pokonya barang bagus banget pokonya gak bakal nyesel belanja di toko ini buat toko nya sukses terus k,iissuhendra413,,,,,
"2024-04-27 06:19 | Variasi: Pink stabilo,L (59-60)",Produk sesuai helmnya bagus warnanya cerah..packing rapi dan aman,renny_agustiani,,,,,
"2023-04-03 23:07 | Variasi: Hitam kilap,L (59-60)","Pokoknya mantap, Di beli Ya👍",padlani01,,,,,
"2023-10-17 22:45 | Variasi: Hijau Armi dop,L (59-60)","Harga murah kualitas sesuai , 
Dan masih dapat bonus Stiker ajip
Maacih",,,,,,
"2025-04-19 17:59 | Variasi: Merah maron,XL (61-62)",Barang sudah sampai dg baik. Tanpa lecet.. pengiriman cepat. Seller dan kurir ramah... Terimakasih,bi42hn8gsi,,,,,
"2023-01-08 22:03 | Variasi: Hitam kilap,L (59-60)",Pas dengan ukuran kepala helm nya juga mantap,,,,,,
"2023-11-28 08:20 | Variasi: Hijau Armi dop,XL (61-62)",,abdulmunifmunif084,,,,,
"2025-04-27 02:11 | Variasi: Maron dop,L (59-60)","Sepadan dengan harga,",nisfa_irawan,,,,,
"2024-07-01 07:53 | Variasi: Abu abu dop,M (57-58)",,635xujyrm6,,,,,
"2025-01-21 16:28 | Variasi: Hitam dop,XL (61-62)",Ternyata barang yang datang sesuai deskripsi dan foto atau gambar dan oke mantap dan terima kasih. 🙏,,,,,,
"2024-05-24 18:30 | Variasi: Ice blue,M (57-58)",,b271283,,,,,
"2024-07-12 15:01 | Variasi: Putih,M (57-58)","Helm FNK cocok yang ingin helm keren harga terjangkau
Kwalitas sesuai harganya
Busa fix tidak bisa dilepas
Sesuai dengan harga
Pengiriman cepet",khoirulfalaq,,,,,
"2023-12-23 14:40 | Variasi: Merah maron,XL (61-62)","Udah sampai kak mkasih realpick,bagus",rubiyanti234,,,,,
"2024-09-17 12:38 | Variasi: Hitam dop,L (59-60)",Alhamdulillah sampai dengan selamat dan allhamdulillah bagus harga sesuai dengan kualitas,yodiarto,,,,,
"2025-05-11 14:57 | Variasi: Merah ferari,XL (61-62)","Barang nya sudah nyampe dengan baik
Makasih shopee
Makasih reseler
Semoga amanah terus,bakal order lagi di sini",darinihkejolkejol,,,,,
"2025-05-26 15:08 | Variasi: Ice blue,L (59-60)","Terimakasih paket sudah sampai , pengiriman cepat , ada double visor x suka",,,,,,
