Waktu,Ulasan,Pengguna,jtmC98,T79_5U,HcSdrS src (6),HcSdrS src (7),HcSdrS src (8)
"2023-11-23 19:18 | Variasi: Hitam kilap,L (59-60)","Maaf baru sempat kasih ulasan,,kualitas dan tampilan Helmnya bagus ,krrren boss nyaman dipake ,dobel pisor juga ,bisa dipake untuk anti silau ,pengiriman lebih cepat ,sesuai pesanan tidak ada yg mengecewakan alhamdulilah barangnya mulus dan abang kurirnya juga sangat ramah,,pokonya trimakasih deh buat semua",doskqdvg34,,,,,
"2023-04-14 12:59 | Variasi: Hitam dop,L (59-60)","Terimakasih banyak atas pelayanannya. Penjual sangat ramah.
 Packingan aman, dan juga rapi..
Jangan ragu untuk beli di toko ini...",,,,,,
2020-08-14 15:24,"Mantap gan helmnya, sesuai diskripsi, produk recomended, top seller, seller ramah, respon cepat, pengiriman cepat, pakking kardus tebal disertai Buber warp..  terima kasih banyak 😘😘😘😘😘",,|,Langganan,,,
"2023-12-10 18:23 | Variasi: Hitam kilap,L (59-60)","Sesuai harga, tampilan mirip produk aslinya
Barang cepat sampai, pengemasan rapi
Tanpa beret sama sekali",f92xovk702,,,,,
"2024-08-06 13:23 | Variasi: Merah maron,L (59-60)","Harga sepadan dgn kualitas barang, semoga awetlah pokoke, kelihatannya kuat, terimakasih reseller....",5if60djl0f,,,,,
"2023-12-15 11:03 | Variasi: Hitam kilap,XL (61-62)","Helmnya bagus, pas di pakai di kepala, di Doble buble wrap. Aman pokoknya tidak ada yg retak, terima kasih reseler.
Pengirimannya sangat cepat sesuai warna
Pokok nya sipp👍👍👍👍",priskashop2,,,,,
"2023-02-12 12:22 | Variasi: Maron dop,XL (61-62)","Terimaksih Shopee, Seller dan Tim ekspedisi yg sdh mengantarkan pesanan saya dgn super cepat dan selamat.",6b8yr1ndd2,,,,,
"2022-01-29 17:11 | Variasi: Hitam dop,XL (61-62)","Pengiriman cepat, pengemasan rapi dan aman barang sesuai dengan gambar",_hshsw4_d8,,,,,
"2025-05-17 14:04 | Variasi: Merah maron,L (59-60)","Helmnya lumayan bagus, ada sedikit yg kabaret dibagian atasnya 
Semoga aja awett..",sariyhantydapa939,,,,,
"2023-02-08 17:38 | Variasi: Hitam kilap,XL (61-62)","makasih seller
makasih pak kurir,,
paket nya sudah sampai,, dengan selamat",as1h5u6akti06,,,,,
"2023-10-31 21:19 | Variasi: Hitam dop,L (59-60)","Thanks gan real pick recommended seller, buat Abang kurirnya terimakasih",khoiul_anam79,,,,,
"2024-01-13 17:17 | Variasi: Abu abu dop,L (59-60)",Mantap pokonya agak ringan di kepala d pakenya enak pas di kepala saya,wahyu_bolong729,,,,,
"2023-01-11 15:44 | Variasi: Hijau Armi dop,L (59-60)",,,,,,,
"2025-03-18 18:16 | Variasi: Ice blue,XL (61-62)","Paket sudah sampe, barang nya okee banget tanpa kurang apapun, puass bgt pokok nya, next time bakal order lagi... Terimakasih seller sukses terus ya",,,,,,
"2023-03-15 12:20 | Variasi: Hijau Armi dop,XL (61-62)","Warna helm nya bagus, sesuai pesanan. Semoga awet. Recommended",,,,,,
"2025-02-01 21:11 | Variasi: Hitam dop,M (57-58)","Sudah saya terima helm bagus sesuai harga tidak bisa mengharap lebih, kondisi mulus tidak ada yabg cacat hanya saja stikernya pada miring nempelnya... Penjual amanah yang di kirim sesuai warna dan ukuran...",fahmifir1978,,,,,
"2025-12-05 10:36 | Variasi: Hitam dop,XL (61-62)","Sayang nya lecet, pekingan nya kurang tebal, tpi gk PP lain kali di tebelin",mas.agung29,,,,,
"2023-04-18 11:57 | Variasi: Biru tua dop,M (57-58)",Terima kasih barang sudah diterima...... Semoga sukses lapaknya..... Makasih atas perhatian nya ya,,,,,,
"2023-03-05 14:01 | Variasi: Hitam dop,L (59-60)",Mantul....  Pengiriman cepat dan barang juga bagus,marcellinofabrizio,,,,,
"2023-05-01 15:26 | Variasi: Putih,M (57-58)","Helm baik,packing agak aman, bagus, tapi tidak double kaca visor, tp gpp aman tidak ada cacat",,,,,,
"2023-04-06 13:11 | Variasi: Abu abu dop,M (57-58)","Alhamdulillah barangnya sudah sampai,, pengirimannya sangat cepat, 1 hari sudah sampai. Barangnya bagus, harganya murah.
Walaupun sebenarnya saya pesannya abu abu, tp yg datang malah warna hitam. Tapi tidak apa2 karena warna hitam juga bagus.
Terima kasih seller dan kurir, semoga semakin sukses!",nyossman123,,,,,
"2024-04-21 14:02 | Variasi: Pink magenta,M (57-58)","Saya sangat suka sekali helmnya 👍👍👍👍
Pokoknya mantap deh.
Makasih buat penjualnya🥰🤝
Semoga lancar rezekinya dan berkah selalu....🤲",rusmilawati,,,,,
"2025-03-30 11:36 | Variasi: Hitam kilap,L (59-60)",Semoga awet dan tahan lama dan bisa melindungi kepala dengan baik,faithra1,,,,,
"2025-01-19 02:02 | Variasi: Merah maron,M (57-58)",helem INK pas d ukuran sama warna yang d pesan tokonya amanah respon juga baik... terimakasih tokonya yang sudah amanah..,ismailburhan221,,,,,
"2023-12-06 15:20 | Variasi: Biru tua,XL (61-62)",Alhamdulillah paketanya sudah sampai dengan aman dan juga helmnya cantik sesuai harga.aku suka watnanya.swnang sekali dapat harga segitu lumayan dan kalau diparkir tidak takut takut hilang soalnya sesuai harga.tapi semoga nggak hilang soalnya suka sama helmya,nada_admajaya,,,,,
"2023-01-31 09:23 | Variasi: Biru tua,L (59-60)","Barang sesuai pesanan 👍👍👍👍👍👍👍👍

👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Mantap betul.",asepthunkse,,,,,
"2023-09-14 16:12 | Variasi: Hitam dop,M (57-58)",Pakingannya datang dlm keadaan penyok.. Helm nya ada pecah dikit dibelakangnya.. Bagus sih helm nya lain kali mau order lg warna lain.. Mudah 2 an pakingannya aman..,,,,,,
"2023-04-09 11:06 | Variasi: Abu abu kilap,XL (61-62)",,hanscelluler,,,,,
"2023-12-12 12:19 | Variasi: Hitam dop,XL (61-62)",Ngepas banget d kepala,,,,,,
"2023-09-03 16:00 | Variasi: Biru tua,L (59-60)","Kualitas barang biasa sesuai dengan harganya lumayan buat di pakai sehari - hari
Pengemasan baik dan rapi
Pengiriman baik dan cepat sampai tujuan",,,,,,
"2023-07-27 10:31 | Variasi: Abu abu dop,XL (61-62)","Packing dus aman dengan bubble wrap tebal. Warna helm sesuai request, kualitas oke dan nyaman digunakan. Semoga awet.
Thanks 👍",mantul5758,,,,,
"2023-03-17 18:34 | Variasi: Abu abu dop,XL (61-62)",Not bad lah....yg ptg pakai helm di jalan raya,,,,,,
"2023-03-17 07:34 | Variasi: Hitam kilap,XL (61-62)","Terimakasih paket helmet nya sudah sampai. Kondisi aman, utuh dan tidak lecet. Semoga bisa awet dan nyaman digunakan. Pengiriman rapih dg bubble dan box.",argoen2306,,,,,
"2022-12-11 08:56 | Variasi: Merah maron,L (59-60)",Bagus keren sesuai dengan keinginan dan kebutuhan,iaxy0d4jzi,,,,,
"2025-05-27 18:26 | Variasi: Putih,M (57-58)",Terimakasih,z4d15k_68f,,,,,
"2023-03-30 15:38 | Variasi: Hitam kilap,XL (61-62)","packing dan pengiriman cepat, barang sesuai, gada lecet sedikitpun..",fajarrizqi17beler,,,,,
"2024-05-12 20:12 | Variasi: Hitam kilap,M (57-58)",baiknya lengkapi dengan helm ini.,,,,,,
"2025-02-12 18:28 | Variasi: Merah ferari,M (57-58)",Bahan bagus dan kualitas bagus serta desainya cukup oke dan elegan no debat lah,rzarm,,,,,
"2024-05-01 17:36 | Variasi: Putih,L (59-60)",Buat kerja sehari hari lumayan lah ya 👍,fratama_albis1621,,,,,
"2025-06-05 10:57 | Variasi: Hitam kilap,XL (61-62)",yang pasti barang desain terbaru bagus murah tapi bukan murahan,s274_67y4h,,,,,
"2023-10-31 14:01 | Variasi: Hitam kilap,L (59-60)",Sesuai dengan pesanan dan kualitas sangat bagus,abdulmajid02081984,,,,,
"2023-10-11 08:35 | Variasi: Merah ferari,XL (61-62)",,martin85_,,,,,
"2024-05-23 09:06 | Variasi: Hitam dop,M (57-58)","Alhamdulillah hlm nya sudah sampai dengan kondisi sangat baik walaupun packingnya kurang rapih dan kurang septi, saran kedepannya tolong packingnya dirapihin lagi untuk menjaga kualitas barang. 🙏 saya sangat suka dengan hlmnya kwalitas sangat baik, respon dan pengirimannya juga cepat. Terimakasih 😊",rikythea20,,,,,
"2023-02-28 21:30 | Variasi: Hitam dop,XL (61-62)","barang sudah mendarat dengan selamat,packing lumayan ada buble wrap nya,,utk fisik tampak sperti asli cmn yg kelihatan beda di tali nya",bhubhu666,,,,,
"2021-12-31 09:08 | Variasi: Maron dop,XL (61-62)","Harganya murah sih....masak minta yg bagus tebal...ini ringan sesuai harganya, model dan warnanya bagus sih...biarlah saya kasih bintang 5",indah_suci_rahayu,,,,,
"2024-02-26 22:00 | Variasi: Hitam kilap,M (57-58)","Pas, bagus ,ok..
Sippz .",dediheriyant,,,,,
"2025-04-28 07:18 | Variasi: Biru tua dop,M (57-58)",Mantap pokoknya,d3571ans,,,,,
"2024-10-08 11:44 | Variasi: Hitam kilap,M (57-58)",Helem bagus sesuai dgn gambar cuman kena timpalan sedikit jdi di atas agak retak sedikit,2d3re17l0h,,,,,
"2023-03-22 10:41 | Variasi: Kuning stabilo,XL (61-62)","Mantap neh helmnya, cocok ukuran di kepala aku, nyaman juga, harga mantul, tks ya Gan, sukses terus usahanya",gun1207,,,,,
"2023-01-24 22:08 | Variasi: Merah maron,L (59-60)",Alhamdulilah helm nya sudah sampe.. paking nya kurang rapi.. tp helm nya bagus lumayan lah gak malu2in tampilan pas.. terima kasih gan,aris._12,,,,,
"2023-03-31 19:22 | Variasi: Ice blue,L (59-60)",Terimakasih shopee dan penjual...,mlazimfahmi,,,,,
"2024-03-14 10:31 | Variasi: Hitam dop,L (59-60)","Pesanan sudah mendarat apapun kondisinya tetap tam kasih bintang 5 dengan aman dapat voucher shopee karena tidak sesuai estimasi tiba, tapi masih cukup cepat sih pengirimannya, kalo mau yg bagus beli yg mahal",musa1975,,,,,
"2023-04-08 17:25 | Variasi: Abu abu dop,L (59-60)",Mantap om seller..semoga laris terus. Trims shopee,kaswanthea,,,,,
"2024-02-11 22:35 | Variasi: Hitam kilap,L (59-60)","Untuk kualitas sesuai lah sama harganya
Pengiriman juga cepat
SPX emang top",nuriapepi1993,,,,,
"2025-05-15 16:54 | Variasi: Merah maron,L (59-60)","Dengan harga yang terjangkau
Keemasan cukup aman sampai dengan tanpa cacat
Tak diragukan memuaskan 
Terimakasih",,,,,,
"2024-06-25 20:00 | Variasi: Hitam kilap,L (59-60)","Helmnya bagus sekali dan murah,,next order lagi nanti disini di toko ini,,semoga awet juga helmnya",upipuspitasari2605,,,,,
"2022-12-24 12:30 | Variasi: Putih,XL (61-62)",Respon penjual bagus pengemasan juga cepat ya... Alhamdulillah... barang sesuai dengan pesanan... Puass...,syakibeng1411,,,,,
"2024-07-01 10:28 | Variasi: Ice blue,L (59-60)","Makasih gan helm nya sudah diterima sesuai dgn pesanan, warna variasi iceblue size L,, pas dikepala dan enak dipakai,, seller baik,, pengiriman jg cepat",danureko,,,,,
"2024-10-14 14:12 | Variasi: Abu abu dop,XL (61-62)",Orang datang dengan baik tapi sayang kurang besar tapi lumayanlah dengan harga segitu sesuai dengan harga terima kasih seller terima kasih shopee,,,,,,
"2023-10-15 21:30 | Variasi: Hitam dop,L (59-60)","Alhamdulillah paket nya sudah sampai....
Terima kasih seller.",,,,,,
"2025-05-03 06:11 | Variasi: Putih,XL (61-62)",Makasih seller barangnya sudah sampai dengan selamat dan tanpa cacat kurirnya ramah,darwiajja,,,,,
"2025-05-16 02:45 | Variasi: Putih,M (57-58)",sesuai pesanan,aanto321,,,,,
"2024-08-28 15:33 | Variasi: Hijau Armi dop,L (59-60)",Sangat bagus dan warna sesuai pesanan terimkasih seller 👍👍👍,o2r07xyzqt,,,,,
"2025-03-31 16:17 | Variasi: Hitam kilap,M (57-58)","Barang sudah sampai, real pict 👍👍 dengan harga murah bisa mendapatkan helm yg bagus, semoga awet 🤲🤲",dude_adew88,,,,,
"2024-07-04 18:57 | Variasi: Abu abu kilap,L (59-60)","Barang nya bagus bnget kualitas oke 
Cocok di kepala dan tidak berat 
Pengiriman sangat cepat 
Kurir nya juga ramah bnget 
Terima kasih buat reseller",baver1gnn7,,,,,
"2023-12-07 19:04 | Variasi: Putih,XL (61-62)","Alhamdulillah puas bgt,g kcewa g nyesel ok bgt, warna sesuai pesanan mantaapp",fatimah123603,,,,,
"2023-09-25 14:57 | Variasi: Hitam kilap,M (57-58)","Mantap helm nya bagus Kren dipakai, trmksh pake dah nyampe kurir ramah",,,,,,
"2025-06-04 22:59 | Variasi: Hitam kilap,L (59-60)",Mantap helm nya dapet kaca visor bisa buat tambahan kaca pas siang hari supaya tidak silau,syahfriebachrul,,,,,
"2024-11-21 13:22 | Variasi: Biru tua,L (59-60)","Helm nya bagus. Desain oke gaul banget. 
Warna biru tua membuat adem.",rryoiaczdw,,,,,
"2022-01-21 12:03 | Variasi: Hitam dop,M (57-58)","Barang sesuai pesenan, produk sesuai iklan dan datang sangat cepat,",arifin_sumenep,,,,,
"2023-02-27 20:10 | Variasi: Putih,L (59-60)","Alhamdulillah pesanan telah mendarat dengan selamat
Barang oke sesuai dengan etalase
Packing standard
Pengiriman ok
Toko rekomanded",susantoedi71,,,,,
"2024-02-17 12:46 | Variasi: Abu abu kilap,L (59-60)",,dianmuhammad07,,,,,
"2024-08-12 15:03 | Variasi: Hitam kilap,XL (61-62), Putih,XL (61-62)","Ok sesuai harapan,,, helm harga segitu pas dan bagus, cocok buat anak anakku, pengiriman juga cepat, sehari nyampek, makasih gan",bintang_1214,,,,,
"2023-04-14 14:47 | Variasi: Putih,XL (61-62)","packing SGT cepat dan aman, barang bagus tidak cacat, kualitas helm seperti ORI yaitu bagus berat, tapi pengait cukup bagus, UK XL sesuai pesanan",,,,,,
"2023-03-06 15:34 | Variasi: Abu abu dop,XL (61-62)",,wdmqomx5wq,,,,,
"2025-02-22 14:37 | Variasi: Hitam kilap,L (59-60)",Paket helm sdh di terima dgn kondisi baik packing rapi tks shopee tks seller sukses selalu,satriobee,,,,,
"2023-03-30 10:14 | Variasi: Hitam dop,L (59-60)",Good la ...lmyan la...ok la....yaa yaaaa,riz4l_aja,,,,,
"2024-12-21 18:28 | Variasi: Abu abu kilap,L (59-60)","Alhamdulilah pesanan sudah sampai, barang ok   
Kualis oke kurir juga oke 👍",putrinabil123,,,,,
"2022-12-29 17:10 | Variasi: Putih,L (59-60)","Saya suka dengan barang ini, dipaket dengan baik. dan kualitas ok
barang sesuai pilihan saya, namun ada sedikit lecet, dan juga untuk kaca beningnya agak sedikit sulit dibuka tutup (diturunkan dan dinaikan).
Untuk pengiriman Baik dan cepat banget, punya saya cuman butuh 4 hari..",leaf_ice,,,,,
"2024-01-18 15:58 | Variasi: Hitam dop,XL (61-62)","Paket sudah sampai.alhamdulillah no minus  tetangga suka katanya barangnya bagus.terima kasih shopee,seller semoga usahanya lancar",lifaturoh,,,,,
"2023-08-27 18:35 | Variasi: Hitam kilap,XL (61-62)",helm bagus warna hitam pekat kinclong pengiriman cepat banget pengemasan baik kurir ramah trima kasih ya😘🙏,,,,,,
